empId,firstName,lastName,age,ctc
180,name_180,Trivedi,59,56749.0
182,name_182,Kumar,55,99241.0
183,name_183,Rath,53,32373.0
184,name_184,Reddy,45,42806.0
186,name_186,Sahoo,57,31035.0
188,name_188,Pradhan,47,48879.0
190,name_190,Kumar,46,59961.0
204,name_204,Rath,44,79729.0
207,name_207,Sahoo,51,51640.0
209,name_209,Trivedi,48,74097.0
210,name_210,Kumar,42,75471.0
216,name_216,Swain,56,38267.0
218,name_218,Sahoo,41,85616.0
220,name_220,"",52,58050.0
221,name_221,Kumar,53,67479.0
227,name_227,"",41,95052.0
229,name_229,Pradhan,49,65667.0
230,name_230,Trivedi,42,37572.0
231,name_231,Trivedi,57,36098.0
232,name_232,Sahoo,51,76338.0
235,name_235,Trivedi,49,49916.0
240,name_240,Reddy,49,75275.0
242,name_242,Swain,52,87204.0
249,name_249,Reddy,55,81753.0
250,name_250,Sahoo,53,89035.0
253,name_253,Rath,48,38017.0
256,name_256,Pradhan,52,76792.0
257,name_257,Sahoo,54,31332.0
259,name_259,Trivedi,52,69541.0
261,name_261,Sahoo,59,77019.0
262,name_262,Rath,60,88106.0
264,name_264,Pradhan,42,94730.0
267,name_267,Rath,55,44022.0
270,name_270,Pradhan,51,89901.0
272,name_272,"",41,47019.0
274,name_274,Rath,58,90711.0
275,name_275,Rath,56,67186.0
276,name_276,Kumar,58,65372.0
277,name_277,Pradhan,49,83202.0
281,name_281,Pradhan,57,80947.0
282,name_282,Kumar,53,37127.0
286,name_286,Pradhan,44,46204.0
298,name_298,Pradhan,58,49489.0
301,name_301,Rath,58,70469.0
303,name_303,"",57,64254.0
308,name_308,Sahoo,52,96511.0
309,name_309,Reddy,41,48590.0
316,name_316,Trivedi,45,66426.0
318,name_318,Rath,45,97714.0
319,name_319,Kumar,59,75577.0
321,name_321,Swain,47,90548.0
323,name_323,Sahoo,50,53837.0
324,name_324,Reddy,53,75971.0
325,name_325,Swain,56,57668.0
326,name_326,Sahoo,49,87989.0
328,name_328,Rath,47,94618.0
335,name_335,Rath,55,44426.0
348,name_348,Trivedi,46,49603.0
350,name_350,Swain,56,40995.0
353,name_353,Sahoo,54,92312.0
357,name_357,Rath,56,44203.0
362,name_362,Swain,53,75137.0
367,name_367,Reddy,53,92605.0
368,name_368,Trivedi,51,60589.0
370,name_370,Sahoo,53,88066.0
374,name_374,Rath,50,66996.0
376,name_376,Kumar,60,32554.0
379,name_379,Sahoo,49,73186.0
380,name_380,Reddy,49,46684.0
383,name_383,Kumar,45,90896.0
385,name_385,Pradhan,54,75937.0
386,name_386,Pradhan,42,30323.0
389,name_389,Sahoo,54,45188.0
390,name_390,Rath,57,92981.0
392,name_392,Rath,59,30417.0
393,name_393,Swain,57,73282.0
396,name_396,Swain,44,83755.0
400,name_400,Reddy,41,70690.0
407,name_407,Reddy,53,76250.0
410,name_410,Reddy,50,47369.0
417,name_417,Pradhan,46,94957.0
421,name_421,Pradhan,45,30219.0
422,name_422,"",47,38924.0
425,name_425,Reddy,48,58701.0
426,name_426,Sahoo,47,44660.0
428,name_428,"",60,75304.0
429,name_429,Kumar,51,96932.0
430,name_430,Trivedi,56,75121.0
433,name_433,Trivedi,44,98623.0
438,name_438,Reddy,43,35305.0
439,name_439,Reddy,42,48031.0
441,name_441,"",60,47336.0
444,name_444,Swain,46,93533.0
447,name_447,Swain,58,72419.0
449,name_449,Kumar,52,91224.0
456,name_456,Swain,59,63455.0
460,name_460,Swain,41,46327.0
463,name_463,Rath,44,34471.0
464,name_464,Reddy,48,94027.0
467,name_467,Rath,44,65786.0
468,name_468,Rath,41,44919.0
474,name_474,Reddy,56,87838.0
479,name_479,Trivedi,58,52562.0
485,name_485,Sahoo,59,91560.0
486,name_486,Rath,49,42956.0
488,name_488,Trivedi,54,71204.0
489,name_489,Reddy,55,82932.0
490,name_490,Sahoo,46,87654.0
491,name_491,Swain,44,72824.0
492,name_492,Sahoo,60,43284.0
494,name_494,Rath,44,67388.0
496,name_496,Rath,43,62327.0
497,name_497,Sahoo,53,30685.0
503,name_503,Trivedi,51,80953.0
504,name_504,Trivedi,49,84248.0
506,name_506,Kumar,42,75853.0
511,name_511,"",42,92073.0
513,name_513,"",47,37249.0
517,name_517,Reddy,51,83378.0
519,name_519,"",59,43268.0
520,name_520,"",60,73568.0
524,name_524,Kumar,45,50710.0
525,name_525,Kumar,44,85378.0
528,name_528,Reddy,47,42947.0
530,name_530,Swain,55,55666.0
531,name_531,Reddy,58,50565.0
537,name_537,"",53,90973.0
541,name_541,Trivedi,54,42339.0
542,name_542,Swain,55,89014.0
546,name_546,Kumar,48,78069.0
547,name_547,Pradhan,45,89411.0
550,name_550,Trivedi,59,37085.0
551,name_551,"",52,67388.0
555,name_555,"",56,66510.0
556,name_556,Rath,50,48089.0
557,name_557,Pradhan,46,64508.0
567,name_567,Rath,47,95163.0
569,name_569,Rath,51,87965.0
571,name_571,"",49,92498.0
572,name_572,Swain,60,95560.0
579,name_579,Pradhan,49,93368.0
582,name_582,Reddy,47,98290.0
583,name_583,Sahoo,60,98777.0
589,name_589,Reddy,42,62030.0
590,name_590,"",47,58442.0
591,name_591,Rath,60,63408.0
592,name_592,Swain,52,69603.0
593,name_593,Reddy,49,44744.0
596,name_596,Sahoo,55,69137.0
602,name_602,"",50,58506.0
604,name_604,Rath,55,84778.0
608,name_608,"",60,44134.0
609,name_609,"",50,58191.0
610,name_610,Rath,48,95557.0
611,name_611,Swain,56,78759.0
613,name_613,Reddy,42,67203.0
614,name_614,Reddy,50,65938.0
616,name_616,Swain,55,54310.0
625,name_625,Kumar,51,36822.0
627,name_627,Sahoo,48,63187.0
628,name_628,Trivedi,55,33610.0
630,name_630,"",44,74326.0
634,name_634,Trivedi,42,37706.0
637,name_637,Swain,55,44393.0
640,name_640,Rath,54,79722.0
641,name_641,Kumar,52,66783.0
643,name_643,Reddy,51,98790.0
644,name_644,Rath,48,36040.0
649,name_649,Swain,41,45765.0
660,name_660,Rath,59,84037.0
661,name_661,Kumar,58,40272.0
662,name_662,Trivedi,47,45040.0
666,name_666,"",47,61459.0
672,name_672,Sahoo,49,73889.0
673,name_673,Swain,52,80310.0
676,name_676,Trivedi,46,86462.0
678,name_678,Sahoo,59,46950.0
683,name_683,Pradhan,58,57561.0
688,name_688,Reddy,43,54143.0
689,name_689,"",44,82332.0
691,name_691,"",55,70666.0
694,name_694,Swain,57,63823.0
695,name_695,Pradhan,51,51656.0
696,name_696,Sahoo,56,65691.0
697,name_697,Trivedi,52,62595.0
703,name_703,"",60,53694.0
705,name_705,Swain,58,83069.0
708,name_708,Reddy,50,89681.0
712,name_712,Rath,46,58145.0
713,name_713,Reddy,59,63438.0
718,name_718,Kumar,45,58118.0
721,name_721,Trivedi,51,65576.0
725,name_725,Reddy,57,59748.0
729,name_729,Reddy,41,79253.0
731,name_731,Kumar,59,70226.0
732,name_732,Trivedi,42,57648.0
737,name_737,Rath,48,77783.0
738,name_738,Sahoo,56,83685.0
741,name_741,Swain,43,62762.0
742,name_742,Rath,54,92676.0
745,name_745,Trivedi,42,87462.0
750,name_750,"",45,56609.0
755,name_755,Swain,46,45549.0
756,name_756,Kumar,46,86181.0
760,name_760,Rath,51,81791.0
761,name_761,Rath,52,73923.0
762,name_762,Kumar,54,40358.0
763,name_763,Trivedi,56,80791.0
764,name_764,Trivedi,58,71182.0
766,name_766,Sahoo,42,38493.0
767,name_767,"",43,62547.0
769,name_769,Rath,43,32043.0
776,name_776,Trivedi,41,44384.0
780,name_780,Sahoo,45,31562.0
783,name_783,Sahoo,49,78013.0
784,name_784,Rath,52,99109.0
789,name_789,"",53,44022.0
790,name_790,Trivedi,46,72678.0
791,name_791,Pradhan,58,97352.0
797,name_797,Swain,49,38304.0
798,name_798,Trivedi,43,96576.0
803,name_803,"",54,84909.0
808,name_808,Pradhan,41,72689.0
810,name_810,Reddy,51,98794.0
812,name_812,Swain,57,42169.0
813,name_813,Rath,56,78888.0
815,name_815,"",46,52900.0
817,name_817,"",59,64567.0
820,name_820,Swain,44,86191.0
821,name_821,Rath,58,36019.0
825,name_825,Reddy,58,44734.0
827,name_827,Kumar,55,47658.0
828,name_828,Reddy,59,45424.0
830,name_830,Rath,48,58650.0
836,name_836,Kumar,57,31357.0
837,name_837,Rath,50,39672.0
838,name_838,Kumar,59,31511.0
841,name_841,Trivedi,52,68194.0
848,name_848,Swain,54,36005.0
850,name_850,Pradhan,44,90143.0
851,name_851,Kumar,44,80691.0
853,name_853,Pradhan,42,80840.0
856,name_856,Reddy,42,49200.0
857,name_857,Reddy,56,63375.0
863,name_863,Sahoo,46,61306.0
864,name_864,Kumar,42,36029.0
866,name_866,Pradhan,52,77415.0
868,name_868,Swain,42,91771.0
877,name_877,Sahoo,58,50562.0
879,name_879,Rath,46,76839.0
881,name_881,Reddy,51,45633.0
884,name_884,Reddy,41,96044.0
886,name_886,Pradhan,50,33105.0
888,name_888,Kumar,47,86094.0
889,name_889,Reddy,53,37073.0
890,name_890,Swain,54,73706.0
892,name_892,Reddy,41,42612.0
900,name_900,Reddy,41,50841.0
901,name_901,Swain,47,75074.0
902,name_902,Pradhan,53,56826.0
905,name_905,Swain,59,36863.0
906,name_906,Swain,50,49479.0
907,name_907,Sahoo,43,66274.0
909,name_909,Kumar,49,66471.0
915,name_915,Reddy,56,49841.0
917,name_917,Kumar,53,74796.0
918,name_918,Rath,43,66423.0
920,name_920,Sahoo,43,56245.0
922,name_922,Sahoo,50,83041.0
924,name_924,Kumar,50,80986.0
932,name_932,Swain,42,93618.0
935,name_935,Swain,43,42379.0
936,name_936,Reddy,46,92474.0
938,name_938,Sahoo,50,88648.0
940,name_940,Rath,47,33275.0
941,name_941,Kumar,52,52038.0
947,name_947,"",53,57460.0
948,name_948,"",53,81576.0
962,name_962,Reddy,54,75766.0
963,name_963,Pradhan,50,69497.0
964,name_964,Kumar,44,75637.0
965,name_965,"",55,47800.0
967,name_967,Swain,48,78321.0
969,name_969,Rath,58,78903.0
970,name_970,Trivedi,56,78554.0
971,name_971,Trivedi,56,36988.0
980,name_980,Swain,42,43385.0
983,name_983,Sahoo,50,67535.0
985,name_985,Kumar,57,95307.0
991,name_991,Swain,55,66236.0
993,name_993,Swain,57,54463.0
1000,name_1000,Pradhan,48,97365.0
